Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
My Cherie Amour,Stevie Wonder,My Cherie Amour, 1969,173306,4,0.574,0.507,6,-11.343,1,0.0258,0.228,4.57E-06,0.279,0.514,101.085,67
Sir Duke,Stevie Wonder,Songs In The Key Of Life, 1977,232760,4,0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,70
Superstition,Stevie Wonder,Talking Book, 1972,266133,4,0.611,0.578,1,-14.171,1,0.0676,0.0598,0.0219,0.0983,0.884,100.625,65
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book, 1973,178200,4,0.519,0.46,11,-14.53,1,0.0688,0.823,5.97E-05,0.243,0.675,132.082,67
Living For The City,Stevie Wonder,The Definitive Collection (Deluxe Edition), 1973,219306,4,0.708,0.538,11,-10.28,1,0.0686,0.256,0,0.193,0.651,98.233,50
Isn't She Lovely,Stevie Wonder,The Definitive Collection (Deluxe Edition), 1976,199386,4,0.747,0.692,1,-8.956,0,0.0474,0.202,3.39E-05,0.0698,0.904,118.698,67
Uptight (Everything's Alright),Stevie Wonder,Up-Tight, 1966,174400,4,0.593,0.642,5,-9.894,0,0.0304,0.186,0,0.129,0.919,133.281,57
Signed Sealed Delivered I'm Yours,Stevie Wonder,You've Got Mail, 1970,158266,4,0.645,0.694,5,-8.553,1,0.0318,0.0255,0,0.0805,0.813,109.068,25
You Don't Have To Go,The Chi-Lites,20 Greatest Hits, 1972,284253,4,0.636,0.657,1,-12.325,1,0.146,0.234,5.32E-06,0.0477,0.734,105.336,20
Have You Seen Her,The Chi-Lites,20 Greatest Hits, 1971,309013,4,0.62,0.334,4,-15.598,1,0.0536,0.479,1.2E-06,0.169,0.298,139.375,47
Oh Girl,The Chi-Lites,20 Greatest Hits, 1972,216280,4,0.418,0.402,10,-12.942,1,0.0288,0.226,0,0.103,0.601,133.683,52
Give It Away,The Chi-Lites,Give It Away, 1973,167053,4,0.375,0.622,0,-7.68,1,0.0482,0.0816,5.85E-05,0.129,0.718,82.705,21
Are You My Woman? (Tell Me So),The Chi-Lites,I Like Your Lovin' (Do You Like Mine?), 1970,182066,4,0.723,0.873,9,-6.749,0,0.0524,0.215,2.13E-06,0.0792,0.934,111.793,39
Too Good To Be Forgotten,The Chi-Lites,The Chi-Lites, 1974,198986,4,0.659,0.745,8,-8.098,0,0.0381,0.592,0,0.241,0.953,103.163,26
Stoned Out Of My Mind,The Chi-Lites,The Chi-Lites, 1972,184533,4,0.719,0.69,6,-8.953,0,0.0378,0.116,2.07E-06,0.398,0.791,105.776,29
There Will Never Be Any Peace,The Chi-Lites,Toby, 1970,315320,4,0.504,0.735,0,-7.562,1,0.0345,0.397,1.83E-06,0.07,0.693,79.747,15
One Mint Julep,The Clovers,Carol (Original Motion Picture Soundtrack), 1952,146013,4,0.738,0.311,3,-12.04,1,0.037,0.738,0,0.169,0.723,106.559,14
Nip Sip,The Clovers,Dance Party, 1959,179906,4,0.851,0.162,11,-14.957,0,0.105,0.557,0,0.108,0.412,120.073,17
Love Potion No. 9 - Remastered / Single Version,The Clovers,The Best Of The Clovers (Love Potion No. 9), 1959,113200,4,0.738,0.451,7,-12.949,1,0.146,0.572,0,0.175,0.793,128.853,54
Don't You Know I Love You,The Clovers,The Clovers, 1959,186400,4,0.595,0.241,5,-15.97,1,0.0381,0.814,5.14E-05,0.0959,0.709,116.983,8
Little Mama,The Clovers,The Clovers, 1957,176360,4,0.758,0.453,6,-11.145,0,0.0503,0.816,0,0.28,0.714,133.989,12
Lovey Dovey,The Clovers,The Clovers, 1954,164360,4,0.758,0.3,0,-12.514,1,0.0462,0.892,1.82E-05,0.161,0.771,109.331,19
Blue Velvet,The Clovers,The Clovers, 1955,157573,3,0.338,0.046,10,-20.395,0,0.0363,0.956,3.47E-06,0.114,0.296,197.073,26
Devil or Angel,The Clovers,The Clovers, 1956,146933,4,0.668,0.239,5,-13.181,1,0.0332,0.871,0,0.299,0.719,106.937,42
Your Cash Ain't Nothin' but Trash,The Clovers,The Platinum Collection, 1956,177613,4,0.768,0.179,0,-13.799,1,0.0479,0.891,0,0.118,0.642,133.611,11
Little Egypt (Ying-Yang),The Coasters,Coast Along With The Coasters, 1961,172933,4,0.869,0.322,10,-15.825,1,0.0718,0.553,0,0.261,0.876,116.196,25
I'm a Hog for You,The Coasters,Down in Mexico - Very Best Of, 1956,119693,4,0.618,0.65,5,-6.652,0,0.0402,0.553,0,0.0603,0.966,131.426,2
Love Potion No. 9,The Coasters,Good Old Rock 'n' Roll - Volume 1, 1959,160440,4,0.775,0.518,5,-11.655,0,0.0665,0.413,1.95E-05,0.0815,0.921,125.518,0
Framed,The Coasters,The Coasters, 1957,166866,3,0.473,0.538,5,-7.649,1,0.096,0.601,0,0.342,0.548,80.156,26
Searchin',The Coasters,The Coasters, 1957,159493,4,0.776,0.495,8,-13.861,1,0.0503,0.414,0,0.196,0.924,73.282,43
Along Came Jones - 2007 Remaster; Remastered,The Coasters,There's A Riot Goin' On: The Coasters On Atco, 1959,179293,4,0.778,0.821,9,-5.182,1,0.296,0.67,0,0.161,0.789,104.824,24
Poison Ivy - 2007 Remaster; Remastered,The Coasters,There's A Riot Goin' On: The Coasters On Atco, 1958,164253,4,0.749,0.708,1,-5.413,1,0.0902,0.402,0,0.0904,0.97,137.286,41
Charlie Brown - 2007 Remaster Stereo Single Version,The Coasters,There's A Riot Goin' On: The Coasters On Atco, 1959,141306,4,0.485,0.751,10,-6.299,1,0.15,0.604,1.07E-06,0.0124,0.814,125.935,43
